2019376;3569376
2121020;3171020
2121060;3601060
2121061;3421061
2121062;2551062
2121122;2431122
2121130;3231130
2121450;3537450
2121510;3731510
2121811;3651811
2121812;2751812
2121932;2471932
2121952;2431952
2122003;3522003
2122030;3912030
2122033;2762033
2122041;3622041
2122120;2752120
2122124;3002124
2122420;3622420
2122431;3102431
2122452;3682452
2122724;2712724
2122821;3652821
2122823;3792823
2122831;2822831
2122942;2242942
2123001;2756001
2123020;2580020
2123060;3043060
2123102;3653102
2123131;2433131
2123141;3033141
2123160;3903160
2123252;2703252
2123260;3423260
2123731;3583731
2123732;3243732
2123751;3163751
2123801;3073801
2123851;2449851
2123912;3183912
2123960;3653960
2124103;3734103
2124932;3194932
2125082;2825082
2125612;3675612
2125632;3685632
2125641;2585641
2125642;2725642
2125921;3435921
2125922;2515922
2125931;3785931
2126053;3676053
2126353;2556353
2128052;2348052
2128352;3628352
2128353;3188353
2129052;3589052
2129452;2419452
2129952;3539952
2129953;2529953
2989938;3269938
3980406;2405406
3980407;2340407
3980409;2710409
3980546;3190546
3980626;2360626
3980633;3570633
3980718;2600718
3980946;3540946
3981002;2584002
3981046;3581046
3981285;3371285
3981288;3231288
3981291;3031291
3981299;3541299
3981307;3541307
3981308;2401308
3981355;2761355
3981516;2711516
3981519;2491519
3981537;2721537
3981880;3611880
3981881;3221881
3981882;3661882
3981957;2781957
3982022;3502022
3982240;3162240
3982245;3742245
3982260;2422260
3982262;2362262
3982263;3682263
3982552;3372552
3982568;3502568
3982578;3612578
3982596;3372596
3982597;3642597
3982635;3532635
3982824;3072824
3983167;3773167
3983254;2423254
3984372;3684372
3984395;3164395
3984737;2594737
3984764;3744764
3985075;3785075
3985390;3245390
3985479;2475479
3985542;2415542
3985644;3625644
3985646;3785646
3985931;3555931
3986135;2436135
3986136;3536136
3986490;3006490
3986640;3016640
3986662;2356662
3986759;3376759
3986890;2766890
3987431;3677431
3987514;2587514
